date,iso_code,c6
2020-07-31,DEU,0.0
2020-08-01,DEU,0.0
2020-08-02,DEU,0.0
2020-08-03,DEU,0.0
2020-08-04,DEU,0.0
2020-08-05,DEU,0.0
2020-08-06,DEU,0.0
2020-08-07,DEU,0.0
2020-08-08,DEU,0.0
2020-08-09,DEU,0.0
2020-08-10,DEU,0.0
2020-08-11,DEU,0.0
2020-08-12,DEU,0.0
2020-08-13,DEU,0.0
2020-08-14,DEU,0.0
2020-08-15,DEU,0.0
2020-08-16,DEU,0.0
2020-08-17,DEU,0.0
2020-08-18,DEU,0.0
2020-08-19,DEU,0.0
2020-08-20,DEU,0.0
2020-08-21,DEU,0.0
2020-08-22,DEU,0.0
2020-08-23,DEU,0.0
2020-08-24,DEU,0.0
2020-08-25,DEU,0.0
2020-08-26,DEU,0.0
2020-08-27,DEU,0.0
2020-08-28,DEU,0.0
2020-08-29,DEU,0.0
2020-08-30,DEU,0.0
2020-08-31,DEU,0.0
2020-09-01,DEU,0.0
2020-09-02,DEU,0.0
2020-09-03,DEU,0.0
2020-09-04,DEU,0.0
2020-09-05,DEU,0.0
2020-09-06,DEU,0.0
2020-09-07,DEU,0.0
2020-09-08,DEU,0.0
2020-09-09,DEU,0.0
2020-09-10,DEU,0.0
2020-09-11,DEU,0.0
2020-09-12,DEU,0.0
2020-09-13,DEU,0.0
2020-09-14,DEU,0.0
2020-09-15,DEU,0.0
2020-09-16,DEU,0.0
2020-09-17,DEU,0.0
2020-09-18,DEU,0.0
2020-09-19,DEU,0.0
2020-09-20,DEU,0.0
2020-09-21,DEU,0.0
2020-09-22,DEU,0.0
2020-09-23,DEU,0.0
2020-09-24,DEU,0.0
2020-09-25,DEU,0.0
2020-09-26,DEU,0.0
2020-09-27,DEU,0.0
2020-09-28,DEU,0.0
2020-09-29,DEU,0.0
2020-09-30,DEU,0.0
2020-10-01,DEU,0.0
2020-10-02,DEU,0.0
2020-10-03,DEU,0.0
2020-10-04,DEU,0.0
2020-10-05,DEU,0.0
2020-10-06,DEU,0.0
2020-10-07,DEU,0.0
2020-10-08,DEU,0.0
2020-10-09,DEU,0.0
2020-10-10,DEU,0.0
2020-10-11,DEU,0.0
2020-10-12,DEU,0.0
2020-10-13,DEU,0.0
2020-10-14,DEU,0.0
2020-10-15,DEU,1.0
2020-10-16,DEU,1.0
2020-10-17,DEU,1.0
2020-10-18,DEU,1.0
2020-10-19,DEU,1.0
2020-10-20,DEU,1.0
2020-10-21,DEU,1.0
2020-10-22,DEU,2.0
2020-10-23,DEU,2.0
2020-10-24,DEU,2.0
2020-10-25,DEU,2.0
2020-10-26,DEU,2.0
2020-10-27,DEU,2.0
2020-10-28,DEU,2.0
2020-10-29,DEU,2.0
2020-10-30,DEU,2.0
2020-10-31,DEU,2.0
2020-11-01,DEU,2.0
2020-11-02,DEU,1.0
2020-11-03,DEU,1.0
2020-11-04,DEU,1.0
2020-11-05,DEU,1.0
2020-11-06,DEU,1.0
